time, name, version, hash_source, binaries, binaries_size
20150517034243,nano,2.4.1-1,83427587b882caa40fa534446f1b4d41,"nano nano-tiny nano-udeb",560100
20150521033752,sysvinit,2.88dsf-59.1,7ce3b389183df44d9d03513ff7e31622,"sysvinit sysvinit-core sysvinit-utils sysv-rc initscripts bootlogd",528664
20150521033752,util-linux,2.26.2-3,42a444ab15353e73d9ce60540296e220,"util-linux util-linux-locales mount bsdutils fdisk-udeb cfdisk-udeb libblkid1 libblkid1-udeb libblkid-dev libfdisk1 libfdisk1-udeb libfdisk-dev libmount1 libmount-dev libsmartcols1 libsmartcols1-udeb libsmartcols-dev libuuid1 uuid-runtime libuuid1-udeb uuid-dev util-linux-udeb",3517266
20150523034531,geoip-database,20150512-1,87719b8537348ffdc4a6f7589dfb9302,"geoip-database geoip-database-extra",11343576
20150523034531,base-files,9.2,fb36018715ad363590f6759c6f8105fb,"base-files",78108
20150524034740,whois,5.2.8,37e375b7594224f4292baac7fad4da4a,"whois",66046
20150529043247,util-linux,2.26.2-5,0f72bfc2b9793e408c451d6ace914b6d,"util-linux util-linux-locales mount bsdutils fdisk-udeb cfdisk-udeb libblkid1 libblkid1-udeb libblkid-dev libfdisk1 libfdisk1-udeb libfdisk-dev libmount1 libmount-dev libsmartcols1 libsmartcols1-udeb libsmartcols-dev libuuid1 uuid-runtime libuuid1-udeb uuid-dev util-linux-udeb",3520978
20150531041717,sed,4.2.2-6,3d39fcc7ca7a59823517d35f24945b7a,"sed",242830
20150531041717,dpkg,1.18.0,22d1a0cc18910fc1275a4fbc22aa4982,"libdpkg-dev dpkg dpkg-dev libdpkg-perl dselect",7612404
20150601041739,pcre3,2:8.35-5,c7cc194b6d5ab62f3e23a372a8350a62,"libpcre3 libpcre3-udeb libpcrecpp0 libpcre3-dev libpcre3-dbg pcregrep libpcre16-3 libpcre32-3",2140544
20150601041739,gvfs,1.24.1-2,d92fb57dc0e73b420ad2d754ac50391d,"gvfs gvfs-daemons gvfs-libs gvfs-common gvfs-fuse gvfs-backends gvfs-bin gvfs-dbg",4817410
20150606044147,util-linux,2.26.2-6,aba5f7e56c012f8e316b269e23c3b8e8,"util-linux util-linux-locales mount bsdutils fdisk-udeb cfdisk-udeb libblkid1 libblkid1-udeb libblkid-dev libfdisk1 libfdisk1-udeb libfdisk-dev libmount1 libmount-dev libsmartcols1 libsmartcols1-udeb libsmartcols-dev libuuid1 uuid-runtime libuuid1-udeb uuid-dev util-linux-udeb",3521472
20150610042543,dpkg,1.18.1,809169e14489dbcc603dc011381fdc67,"libdpkg-dev dpkg dpkg-dev libdpkg-perl dselect",7527302
20150614043312,iso-codes,3.58-1,34611b0324dba3de0e3ce06ed537a83c,"iso-codes",2269634
20150614043312,libcap2,1:2.24-9,01147d888edb285397ce90b9266a0668,"libcap2-bin libcap2 libcap2-dbg libcap-dev libpam-cap libcap2-udeb",138724
20150614043312,whois,5.2.9,6bb5bf65bc24f1dc60059f69a930015c,"whois",66170
20150616042321,masscan,1.0.3-95-gb395f18~ds0-1,dd917182f8773d566dcc439b33c0f744,"masscan",164404
20150622033227,tzdata,2015e-1,6011f40a5782f0a36b30e9d1ec32dee1,"tzdata tzdata-java",262394
